SPRED1_chr15:38648527_T->A,UTR3
SLC6A6_chr3:14528256_C->T,UTR3
ST6GALNAC1_chr17:74621298_C->T,UTR3
ATG2B_chr14:96749759_G->A,UTR3
LRIG1_chr3:66430811_T->G,nonsyn_exonic
DTYMK_chr2:242615472_G->A,UTR3
SBNO1_chr12:123799974_A->G,syn_exonic
FN3KRP_chr17:80685660_G->A,UTR3
SHC2_chr19:416664_C->T,UTR3
SMC5-AS1_chr9:72841360_A->T,ncRNA_intronic
CYBA_chr16:88712731_C->T,intronic
CCDC25_chr8:27593150_G->A,UTR3
DVL3_chr3:183889337_A->T,UTR3
"ADCY5,PTPLB_chr3:123211064_G->T",intergenic
NR4A2_chr2:157181925_A->C,UTR3
KIAA0195_chr17:73493874_G->C,syn_exonic
ADARB1_chr21:46641968_G->A,syn_exonic
GRINA_chr8:145066886_A->G,syn_exonic
GPR56_chr16:57698501_G->A,UTR3
CEP164_chr11:117283676_T->C,UTR3
GNS_chr12:65108160_G->C,UTR3
HLA-DQB1_chr6:32627700_A->G,UTR3
ABHD15_chr17:27889986_T->C,nonsyn_exonic
PIK3R2_chr19:18279638_T->C,syn_exonic
CSNK1D_chr17:80205713_A->G,intronic
DDX27_chr20:47850182_C->T,syn_exonic
MAPRE1_chr20:31427635_C->T,syn_exonic
RNASE6_chr14:21250366_T->C,UTR3
AMACR_chr5:33998883_A->G,nonsyn_exonic
RAB20_chr13:111176519_G->T,syn_exonic
PHLDA1_chr12:76421254_T->C,UTR3
PDHB_chr3:58413662_G->A,UTR3
JAG2_chr14:105608403_A->G,UTR3
SNHG15_chr7:45025542_C->T,ncRNA_intronic
PLD2_chr17:4718776_G->A,syn_exonic
ZC3H7A_chr16:11852354_A->C,syn_exonic
FAM160B2_chr8:21961834_G->A,UTR3
ST6GAL1_chr3:186795216_A->G,UTR3
ERGIC3_chr20:34144107_T->C,intronic
MBOAT2_chr2:8998624_A->G,UTR3
TNS3_chr7:47323456_A->G,syn_exonic
RIPK4_chr21:43160908_A->G,UTR3
"ZNF682,ZNF90_chr19:20155256_G->C",intergenic
BIN2_chr12:51685831_T->C,syn_exonic
ACBD5_chr10:27508758_T->C,syn_exonic
ACSL1_chr4:185687863_A->G,syn_exonic
CAPN15_chr16:603471_A->G,syn_exonic
CIR1_chr2:175213041_T->C,UTR3
SLCO2B1_chr11:74904362_T->C,nonsyn_exonic
PTPLB_chr3:123212694_A->C,downstream
ZFP36L1_chr14:69255652_G->T,UTR3
LRRK2_chr12:40713834_C->A,syn_exonic
ABHD12_chr20:25288632_G->A,syn_exonic
MRPL10_chr17:45901480_C->T,UTR3
COMMD10_chr5:115469773_C->T,syn_exonic
PDLIM1_chr10:96997435_T->C,UTR3
STK17A_chr7:43665136_C->T,UTR3
TPM1_chr15:63360847_T->C,intronic
ME2_chr18:48473753_G->A,UTR3
PEPD_chr19:33878039_A->G,UTR3
ATPIF1_chr1:28562676_A->G,UTR5
ATHL1_chr11:289553_G->C,intronic
MPV17L2_chr19:18306990_G->C,UTR3
BTBD2_chr19:1986455_A->G,UTR3
HSBP1_chr16:83846041_A->G,UTR3
OXA1L_chr14:23239512_A->G,intronic
VWA5A_chr11:124017091_C->T,UTR3
RBM18_chr9:125003679_G->A,UTR3
"CTNNBIP1,LZIC_chr1:9986710_G->A",intergenic
TGOLN2_chr2:85547376_C->G,UTR3
CAST_chr5:96109610_G->A,UTR3
MKRN2_chr3:12624070_C->T,UTR3
KDM7A_chr7:139785024_C->A,UTR3
EPB41_chr1:29445514_C->A,UTR3
PEX16_chr11:45937267_C->T,nonsyn_exonic
STAT3_chr17:40466438_T->C,UTR3
MAU2_chr19:19468734_G->A,UTR3
PPT1_chr1:40539228_G->C,UTR3
C10orf76_chr10:103605714_T->C,UTR3
SGPL1_chr10:72619205_C->T,syn_exonic
CLIC4_chr1:25169634_A->G,UTR3
CCDC88A_chr2:55516723_C->T,UTR3
WDR43_chr2:29135468_C->G,syn_exonic
NISCH_chr3:52516293_C->G,intronic
COMMD2_chr3:149459341_A->G,syn_exonic
YBX3_chr12:10864699_G->A,intronic
SLC27A1_chr19:17616171_G->A,UTR3
GEM_chr8:95274357_T->C,UTR5
"TOP3B,VPREB1_chr22:22550450_C->G",intergenic
"LINC00221,NONE_chr14:107170055_G->A",intergenic
GSTO1_chr10:106022789_C->A,nonsyn_exonic
FARP1_chr13:99100547_T->C,syn_exonic
ITGB4_chr17:73753661_C->T,UTR3
NQO1_chr16:69743760_A->G,UTR3
SEC22B_chr1:145109549_G->T,exonic
MIB2_chr1:1551927_T->C,nonsyn_exonic
CAST_chr5:96109244_G->A,UTR3
ERAP1_chr5:96129512_A->G,syn_exonic
LRRK2_chr12:40713873_A->G,syn_exonic
SYNE1_chr6:152443468_G->T,UTR3
IFI35_chr17:41165878_C->T,syn_exonic
ORAI1_chr12:122079441_T->C,syn_exonic
SSRP1_chr11:57102096_A->G,syn_exonic
MRPL40_chr22:19423250_G->A,nonsyn_exonic
NXN_chr17:704017_A->G,UTR3
PDPR_chr16:70190401_C->T,syn_exonic
C15orf39_chr15:75499602_C->A,syn_exonic
HIST1H1C_chr6:26056549_A->G,syn_exonic
GZMA_chr5:54403957_T->C,nonsyn_exonic
FAM118A_chr22:45737487_G->A,UTR3
HLA-B_chr6:31321807_G->A,UTR3
COL6A2_chr21:47549510_G->C,UTR3
TJP2_chr9:71843023_C->A,nonsyn_exonic
AMFR_chr16:56396486_C->T,UTR3
SLC19A1_chr21:46957916_G->A,UTR5
GALC_chr14:88407888_A->G,nonsyn_exonic
C11orf68_chr11:65684929_C->T,UTR3
KRT6A_chr12:52880999_C->T,UTR3
SF1_chr11:64532579_C->A,UTR3
POR_chr7:75615287_G->A,syn_exonic
WWTR1_chr3:149235707_A->G,UTR3
FRS2_chr12:69971713_C->T,UTR3
IRF2BP2_chr1:234740141_G->A,UTR3
FOXQ1_chr6:1312756_G->A,UTR5
RAI1_chr17:17707105_T->C,syn_exonic
CAPN13_chr2:30980940_C->T,nonsyn_exonic
RAB15_chr14:65414372_T->C,UTR3
CYB561A3_chr11:61116345_T->C,UTR3
HLA-DRB1_chr6:32549670_G->T,intronic
ECHS1_chr10:135186806_A->G,nonsyn_exonic
